Mes;Categor¡a;?tem;Referencia;Descripci¢n;Cantidad en Principal;Cantidad m¡nima en Principal;Cantidad m xima en Principal;Cantidad total;Cantidad en remisiones;Unidad;Estado;Costo promedio;Total
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL LAVANDA 1L;LPA03L;;29;5;10;29;0;Unidad;Activo;2777,106999;80536,1
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL NATURE 1L;LPA03N;;1;6;12;1;0;Unidad;Activo;3046,406605;3046,41
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL TALCO 1L;LPA03T;;4;3;6;4;0;Unidad;Activo;2844,6;11378,4
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL CITRONELLA 1L;LPA03C;;15;6;12;15;0;Unidad;Activo;2547,57754;38213,66
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL CANELA PICANTE 1L;LPA03CP;;0;5;10;0;0;Unidad;Activo;2631;0
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL LAVANDA GALON;LPA05L;;5;6;12;5;0;Unidad;Activo;7327,356585;36636,78
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL NATURE GALON;LPA05N;;17;3;6;17;0;Unidad;Activo;8120,108696;138041,85
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL TALCO GALON;LPA05T;;8;2;4;8;0;Unidad;Activo;7311,613971;58492,91
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL CITRONELLA GALON;LPA05C;;12;5;10;12;0;Unidad;Activo;5928,883646;71146,6
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL CANELA PICANTE GALON;LPA05CP;;0;2;4;0;0;Unidad;Activo;6262;0
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL LAVANDA GARRAFA;LPA06L;;0;2;4;0;0;Unidad;Activo;45067;0
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL NATURE GARRAFA;LPA06N;;0;1;1;0;0;Unidad;Activo;29822,5;0
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL TALCO GARRAFA;LPA06T;;0;1;1;0;0;Unidad;Activo;37179;0
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL CITRONELLA GARRAFA;LPA06C;;0;1;2;0;0;Unidad;Activo;38292;0
Mayo;HOGAR;LIMPIA PISOS ANTIBACTERIAL CANELA PICANTE GARRAFA;LPA06CP;;0;0;0;0;0;Unidad;Activo;24503;0
Mayo;VEHICULOS;LIMPIA VIDRIOS 500 mL PISTOLA;LV02;;12;6;12;12;0;Unidad;Activo;1609,389987;19312,68
Mayo;VEHICULOS;LIMPIA VIDRIOS 1 L PISTOLA;LV03;;20;5;10;20;0;Unidad;Activo;2247,697649;44953,95
Mayo;VEHICULOS;LIMPIA VIDRIOS GALON;LV05;;5;8;16;5;0;Unidad;Activo;3374,242727;16871,21
Mayo;VEHICULOS;LIMPIA VIDRIOS GARRAFA;LV06;;1;1;1;1;0;Unidad;Activo;19039;19039
Mayo;VEHICULOS;LLANTIL LIBRA;LT02;;3;4;8;3;0;Unidad;Activo;2051;6153
Mayo;VEHICULOS;LLANTIL LIT;LT03;;13;3;6;13;1;Unidad;Activo;4019,681858;52255,86
Mayo;VEHICULOS;LLANTIL MED GAL;LT04;;0;0;0;0;0;Unidad;Activo;5508;0
Mayo;VEHICULOS;LLANTIL GAL;LT05;;1;1;2;1;0;Unidad;Activo;13150;13150
Mayo;VEHICULOS;LLANTIL GARRAFA;LT06;;0;1;1;0;0;Unidad;Activo;58964;0
Mayo;COCINA;QUITA GRASA 500 mL PISTOLA;QG02;;13;2;4;13;0;Unidad;Activo;1605,570097;20872,41
Mayo;COCINA;QUITA GRASA 1 L PISTOLA;QG03;;7;2;4;7;0;Unidad;Activo;2228,285781;15598
Mayo;COCINA;QUITA GRASA GALON;QG05;;6;2;4;6;0;Unidad;Activo;3684,669986;22108,02
Mayo;COCINA;QUITA GRASA GARRAFA;QG06;;4;1;1;4;0;Unidad;Activo;13227;52908
Mayo;VEHICULOS;SHAMPOO PARA AUTOS LIB;SA02;;17;3;6;17;1;Unidad;Activo;1689,06696;28714,14
Mayo;VEHICULOS;SHAMPOO PARA AUTOS LIT;SA03;;19;3;6;19;0;Unidad;Activo;2909,85;55287,15
Mayo;VEHICULOS;SHAMPOO PARA AUTOS MED GAL;SA04;;5;0;0;5;0;Unidad;Activo;3996,56;19982,8
Mayo;VEHICULOS;SHAMPOO PARA AUTOS GALON;SA05;;8;1;2;8;0;Unidad;Activo;7303,221065;58425,77
Mayo;VEHICULOS;SHAMPOO PARA AUTOS GARRAFA;SA06;;1;3;6;1;0;Unidad;Activo;33334,26667;33334,27
Mayo;HOGAR;SHAMPOO MUEBLES Y ALFOM. LIB;SM02;;9;3;6;9;0;Unidad;Activo;1702,214286;15319,93
Mayo;HOGAR;SHAMPOO MUEBLES Y ALFOM. LIT;SM03;;7;7;14;7;0;Unidad;Activo;2647,16129;18530,13
Mayo;HOGAR;SHAMPOO MUEBLES Y ALFOM. MED GAL;SM04;;5;0;0;5;0;Unidad;Activo;4019,195929;20095,98
Mayo;HOGAR;SHAMPOO MUEBLES Y ALFOM. GALON;SM05;;1;2;4;1;0;Unidad;Activo;7005,666667;7005,67
Mayo;HOGAR;SHAMPOO MUEBLES Y ALFOM. GARRAFA;SM06;;0;1;2;0;0;Unidad;Activo;29847;0
Mayo;ROPA;SUAVIZANTE TEXTIL 1L;ST03;;10;5;10;10;0;Unidad;Activo;2985,705992;29857,06
Mayo;ROPA;SUAVIZANTE TEXTIL 2L;ST04;;8;1;2;8;0;Unidad;Activo;4287,111936;34296,9
Mayo;ROPA;SUAVIZANTE TEXTIL GALON;ST05;;10;5;10;10;0;Unidad;Activo;7864,6;78646
Mayo;ROPA;SUAVIZANTE TEXTIL GARRAFA;ST06;;1;2;4;1;0;Unidad;Activo;36685;36685
Mayo;HOGAR;VENENO LIBRA;VE02;;3;4;8;3;0;Unidad;Activo;1275,101011;3825,3
Mayo;HOGAR;VENENO LIBRA C/PISTOLA;VE02P;;0;7;14;0;0;Unidad;Activo;1636,651827;0
Mayo;HOGAR;VENENO 1 L;VE03;;3;3;6;3;0;Unidad;Activo;2428,323077;7284,97
Mayo;HOGAR;VENENO 1 L C/PISTOLA;VE03P;;-10;4;8;-10;0;Unidad;Activo;2678,172026;-26781,72
Mayo;HOGAR;VENENO 2 L;VE04;;8;2;4;8;0;Unidad;Activo;3575,766541;28606,13
Mayo;HOGAR;VENENO GALON;VE05;;-2;3;6;-2;0;Unidad;Activo;5960;-11920
Mayo;HOGAR;VENENO GARRAFA;VE06;;0;0;0;0;0;Unidad;Activo;30139;0
Mayo;HOGAR;VINALIMPIO 1 L;VL03;;11;2;4;11;0;Unidad;Activo;2011,61663;22127,78
Mayo;HOGAR;VINALIMPIO 2 L;VL04;;10;2;4;10;0;Unidad;Activo;2624,217319;26242,17
Mayo;HOGAR;VINALIMPIO GALON;VL05;;11;2;4;11;0;Unidad;Activo;3656;40216
Mayo;HOGAR;VINALIMPIO GARRAFA;VL06;;3;1;1;3;0;Unidad;Activo;19410,66667;58232
Mayo;PERFUMERIA;FRASCO PERFUME  1 ONZ TRINITY;FP07;;2;0;0;2;0;Unidad;Activo;787,876794;1575,75
Mayo;PERFUMERIA;FRASCO PERFUME  1 ONZ LUJO SINGLE;FP07L;;39;0;0;39;0;Unidad;Activo;1014,422978;39562,5
Mayo;PERFUMERIA;FRASCO PERFUME  1 ONZ LUJO CARTIER/DUBAY/ETERNITY;FP07L2;;0;0;0;0;0;Unidad;Activo;3390;0
Mayo;PERFUMERIA;FRASCO PERFUME  2 ONZ MONZA;FP08;;-6;0;0;-6;0;Unidad;Activo;1633,333333;-9800
Mayo;PERFUMERIA;FRASCO PERFUME  2 ONZ LUJO BIG SINGLE/BIG CARTIER;FP08L;;27;0;0;27;0;Unidad;Activo;3350,400036;90460,8
Mayo;PERFUMERIA;FRASCO PERFUME  2 ONZ LUXURY LUJO;FP08L2;;-1;0;0;-1;0;Unidad;Activo;4840;-4840
Mayo;PERFUMERIA;FRASCO PERFUME  2 ONZA INVICTUS;FP08L3;;0;0;0;0;0;Unidad;Activo;3842,857143;0
Mayo;PERFUMERIA;FRASCO PERFUME  2 ONZ RECTANGULAR;FP08L4;;0;0;0;0;0;Unidad;Activo;3000;0
Mayo;PERFUMERIA;FRASCO PERFUME  2 ONZ TACON + CAJA;FP08L5;;-1;0;0;-1;0;Unidad;Activo;7280;-7280
